userName,score,at,content
Yeshua's Princess,1,2024-10-20 02:53:45,"Koq sekarang background profil user di Shopee berubah orange semua & ga bisa di-edit?? Silau banget mata memandangnya. Dulu background profil bisa dipilih kaya foto profil tapi sekarang backgroundnya otomatis orange! Dan lagi, kenapa skrg ga bisa pilih ekspedisi sendiri? Otomatis dipilihkan Shopee. Kalau dapat ekspedisi lemot, jadinya bikin emosi. Kembalikan seperti dulu lah Shopee biar kami nyaman belanjanya."
Jan Khim,1,2024-10-18 13:44:52,"Ini aplikasi emang kayak ajg slogan nya garansi tepat waktu tapi kok gw pesan barang 2 kali berturut turut gak nyampai tepat waktu, apalagi paket yang pertama udah gak tepat waktu+paket nya hilang lagi eh sekali gw pesan lagi yang kedua kalinya ditoko yang berbeda tapi kok datang nya ngak tepat waktu juga sih. emang ajg nih aplikasi malah barang nya mau dipakai besok pagi lagi (barang yang mau dibeli 1 set raket badminton untuk lomba) gw kecewa berat dulu gw kasik rating bintang 5 sekarang 1"
Agustian Dewa,1,2024-10-16 09:03:05,"Pengiriman SPX sekarang mengecewakan. Selalu tersangkut hub lain, garansi tepat waktunya tidak sesuai dengan iklan, padahal sudah pilih yang bukan hemat. Sebaiknya shopee mengubah kebijakan yang hanya pilihan SPX saja yang tertera untuk pengiriman. Munculkan lagi pilihan pengiriman seperti dulu yang bisa kita pilih. Sudah jelek sekali shoppe sekarang"
SeGerhana Family,1,2024-10-16 04:11:40,"Tiap beli barang, kurirnya auto SPX. Padahal SPX KINERJANYA TERAMAT SANGAT BURUK. Baik sebagai penjual / pembeli. Ngerasain 2 paket hilang hanya dalam 1 minggu. Pengiriman sangat lambat. SPX JASA KIRIM TERBURUK. Jijik lama lama pakai shopee, sebagai costumer tidak bisa lagi memilih jasa kirim yang di percaya. SPX JASA KIRIM YANG PALING GAK BISA DI PERCAYA."
Macruze Ali,4,2024-10-15 00:35:01,"Aplikasi nya terlalu bayak fitur, bikin hp lemot. Mungkin untuk penjual, dibuatkan aplikasi kusus untuk penjualan, agar lebih simpel, seperti aplikasi tokopedia saller, itu sangat bagus menurut q, mungkin dalam hal ini shopee bisa menirunya."
Latifah Kesi Nur Pratiwi,1,2024-10-12 11:29:04,"Sejak fitur bisa memilih ekspedisi dihilangkan, kami yg ada di daerah lumayan pelosok jadi malas pakai shopee. Alasannya karna hampir semua toko menggunakan SPX, sedangkan SPX di daerah kami sangat sangat lambat. Sudah beberapa kali paket kami datangnya lambat, sampai melebihi waktu estimasi tiba! Tolong aktifkan kembali fitur bisa memilih ekspedisi."
Senja,4,2024-10-04 09:47:49,"Selama pengalaman pakai Shopee baik, pengalaman berbelanja pun baik, meskipun ada voucher ttap mahal barang & tidak 100% gratis ongkir seperti di iklan kan, untuk luar pulau Jawa seperti kami ini.. Bug pasti ada saja cuma tidak terlalu yg gimana, apk nya minta upgrade rutin 1x dalam 1 bulan seperti biasa si tidak apa, tapi kenapa kali ini baru upgrade 5 hari lalu sekarang upgrade lagi, bug nya parah lelet & berat, padahal kapasitas HP masih longgar sinyal pun amann di apk lain aman."
Abdul Wahid S Pend,1,2024-10-02 02:21:20,"Pengiriman SPX sekarang mengecewakan. Selalu tersangkut hub lain, garansi tepat waktunya tidak sesuai dengan iklan, padahal sudah pilih yang bukan hemat. Sebaiknya shopee mengubah kebijakan yang hanya pilihan SPX saja yang tertera untuk pengiriman. Munculkan lagi pilihan pengiriman seperti dulu yang bisa kita pilih."
j. alfandi,5,2024-09-29 10:32:11,"Untuk aplikasi ini bagus, mudah digunakan. Tapi satu yan saya sedikit kecewa, pengiriman ke kaltim, kab kubar. Memakai SPX, itu sangat lambat dan juga pengiriman tidak tepat waktu, selalu lewat sari batas estimasi, kadang juga tidak di antar, harus ambil sendiimri, padahal sudah bayar ongkir sampai rumah Sebagai saran kalo bisa kayak sebelumnya memakai jasa J&T saja🙏"
Wirra Saputra,4,2024-09-20 15:40:49,Overall aplikasi ini sudah bagus tetapi tolong kalo di setiap iklan tuh jangan suka nyulik (membawa masuk ke dalam aplikasi padahal saya tidak ingin membukanya) dan juga untuk bug lebih di perbaiki lagi serta di optimalkan untuk aplikasi nya... Terimakasih
Saifullah Abidin,1,2024-09-17 19:05:01,"Shopee tambah tidak bagus dulu bisa milih jasa kirim sekarang otomatis akhirnya pengiriman sangat lambat. Saya pesan 2 barang berbeda dihari yang sama tapi shopee otomatis memilih kurir berbeda satu J&t dan satu SPX. Yang J&t udah sampai 1 minggu yang lalu SPX sampai sekarang belum sampai padahal sudah lewat estimasi. Cukup kecewa dengan shopee yang sekarang tidak bisa pilih jasa pengiriman, semoga kedepannya bisa diperbaiki."
Hot Channel,1,2024-09-17 16:51:53,"Makin kesini makin berat nih apk nya, terjadi kesalahan, tidak terhubung dll padahal WiFi lancar bgt (20mbps),Hh juga Ram 4+3Gb. Opsi pengiriman hanya yg rekomendasi shopee baru voucher gratis ongkir bisa di gunakan,kalau ganti jaskim lain voucher tidak berlaku. Mau pake versi lite opsi pengiriman,opsi pembayaran spay, tracking paket tidak ada.🥱😔😔 Makin kesini makin ribet, dan ruwet Lama² pindah server."
Ika Adillah,2,2024-09-17 09:28:11,"shopee sekarang meskipun ada vocher kaya nggada bedanya, harus ada biaya layanan lah penanganan lah, belum lagi gratis ongkir harus ada minimal pembelian, pengiriman super lama, padahal cuma dari kota sebelah bisa sampe seminggu baru dateng, kek plislahh, kalo banyak biaya tambahan harusnya lebih nyaman belanjanya, saya pribadi sebagai pembeli merasa dirugikan.. mohon ditingkatkan kualitas online shopenya, jangan cuma biayanya yang dinaikan🙂👍"
Terli Libertini,1,2024-09-17 05:57:07,"Bisa ngga iklannya ga sampe mengganggu orang gitu na Apaan coba sampe langsung buka aplikasinya dari iklan itu mengganggu banget, bisa kn hanya d cancel gtu aja hilang iklannya, d cancel malah masuk d aplikasi apaan coba, orang lain juga punya kesibukan. Silahkan bikin iklan tapi Janggan sampe menjengkelkan bgtu. Terlalu banyak iklan yg lain tapi d cancel hilang, ini kalau shopee beda.. di pikir kita tiap hari belajar ga ada kerjaan lain apa."
Dika Damiri,1,2024-09-15 12:40:28,"Aplikasi tidak bisa dibuka sesudah di-update bukanya tambah bagus fiturnya malahan banyak bug, apk tidak bisa dibuka cuman dihalaman intro pembukaan, apk kedip kedip saat dibuka gimana solusinya, jika ada seseorang yang memiliki hal yang sama terus jika dia melakukan transaksi gimana nanti??, sekian dari saya makasih, semoga diperbaiki lagi untuk bug bug nya"
Husein Worker,1,2024-09-14 23:55:03,"Satu kelemahan shoope adalah ketika ada kerjasama dengan kurir baru ketika kita order pasti auto pkai kurir bersangkutan mau cod, mau spaylater, atau transfer bank sma saja, lebih parahnya itu tidak bsa di rubah contoh transaksi spaylater byar nanti dan cod. Bagi pembeli pemula ini tidak apa"" karena tidak tau performa kurir, tp bagi yg memang sdh sering belanja tentu sdh hafal performa kurir di daerah masing"". Nyusahin sih harus bolak balik pilih toko yg gk pkai kurir bermasalah. #spe ex"
Laura Trostiko,1,2024-09-14 23:33:12,"Shopee sekarang beda dgn dulu . Voucher gratis ongkir dlu bisa di gunakan di semua ekspedisi , tapi skrg cuma berlaku sama ekspedisi yang di rekomendasikan shopee . Kalau mau yg lain ,voucher gratis/potongan ongkir tidak terpakai . Terus kalau mau pakai yang direkomendasikan , pengirimannya lama banget , Estimasinya 2-3 minggu . Maaf yaa shopee kalu begini terus costumernya akan mulai berkurang."
mfn,1,2024-09-14 01:57:58,"Update yang sekarang malah tambah jelek, terutama saat kita selesai Check out barang, kurir pengiriman nya langsung otomatis dari sistem, tidak bisa di ubah seperti sebelumnya, padahal kalau kurir pengiriaman nya bisa di ubah jadi lebih bagus bisa di pilih sesuai kemauan pembeli mau pakai kurir apa pengiriman nya . Semoga update selanjutnya bisa di buat kembali seperti dulu"
HPS TheMaskedMan,1,2024-09-13 15:43:17,"Web di dalam aplikasi, sering error, pesan tidak langsung ke sinkron, ini pada dasarnya aplikasi browser khusus buka shoope, jelek bener dari pada aplikasi sejenisnya. Please STOP POP UP. I CAME FOR BUYING NOT LOOKING USELESS ADDS.SPX jasa kirim langsung dari shoope jelek bener kalau bisa bintang minus , saya pilih itu dah."
Rika Rizqi,4,2024-09-12 06:02:40,"Hallo pihak Shopee, bisakah kembalikan ekspedisi jnt karna cma jnt blm mengalami masalah. Namun jika tidak bisa, maka mohon diperbaiki lagi expedisi SPX. karna ditempat saya kebanyakan lambat sekali sampai. Dan kebanyakan barangnya kalau gak hilang HILANG/YA dikembalikan oleh pihak kurir. Terimakasih!"
dhiel hamri,1,2024-09-10 13:02:54,"Saya sudah bertahun-tahun pakai shopee. Cuma sekarang mulai muak dengan expedisinya yang auto SPX yang super lemot itu. Tolong ya kondisikan lagi jasa kirim SPX anda yg super lelet itu. Kembalikan saja seperti dulu,bisa pilih jasa kirim. Atau banyak orang yg akan pindah ke aplikasi lain, karena rata-rata koment disni mengeluhkan hal yang sama. Tolong di tindak lanjuti keluhan pelanggan, atau rating aplikasi ini akan terus turun dan tidak laku lagi."
Martiyos,1,2024-09-09 22:33:07,"Ini lah salah satu kelemahan shoppy yg tidak mau berbenah dan tidak mau mendengarkan masukan dan terlalu memaksakan untuk memakai ekspedisi mereka yaitu SPX. Kenapa saat CO otomatis memakai expedisi SPX dan kenapa tidak sepeeti dulu lagi pembeli bebas memilih ekspedisi saat CO. Setiap pakai SPX slalu mengecewakan,estiminasi tidak akurat dan kurir jiga menunda nunda untuk mengantar Kan pesanan ke alamat. Tidak masuk akal pengiriman dalam pulau menggunakan SPX memakan waktu 2 minggu lebih."
Yulia Nelisda,1,2024-09-09 06:55:51,"Dear shopee. Awal saya pakai shopee sangat menarik. Bisa pilih ekspedisi mana untuk pengantaran paket. Dan banyak promo gratis ongkir. Setahun ini saya kecewa dengan shopee karna voucher gratis ongkirnya sedikit. Dan yg paling saya tidak suka adalah pengiriman melalui SPX. Namanya express tapi leletnya nauzubillah. Bahkan 3 hari lewat dri tggal estimasi. Terkadang sudah ""menuju alamat"" tp gak datang sampai besoknya."
Crazy Klixxx,1,2024-09-07 14:36:38,"Aplikasi sampah Mau pake yang hemat, reguler, spx juga tetep sama aja gk ada bedanya nyampenya tetep ditanggal yang sama malah cuman nambah biaya aja Aplikasinya juga selalu lemot, error, kebanyakan ngiklan dimana mana Lain kali optimalin lagi aplikasinya jangan kayak sampah"
Sule Shdn,1,2024-09-07 11:15:39,"Seneng belanja d shopee cuma karena toko y lengkep, terus rating sm ulasan pelanggan y jelas bisa d jadiin referensi sblm CO. Yg paling gk d sukai itu ekspedisi SPX y lelet bgt bikin pembeli gk nyaman buat belanja, d rekomendasikan otomatis kaya ekspedisi y paling paten aja. Masih mending kaya dulu bisa pilih ekspedisi sesuai kebutuhan customer, kualitas ekspedisi itu beda2 setiap kota jd klo d fokuskan sm 1 ekspedisi saja ya kacau jadinya."
